        t_id              chr strand    start      end       t_name  \
0          1               3R      -   722370   722621  FBtr0114258   
1          2               3R      +   835381  2503907  FBtr0346770   
2          3               3R      +  1031171  1031354  FBtr0302440   
3          4               3R      -  2156916  2157206  FBtr0302347   
4          5               3R      -  2554124  3263573  FBtr0346769   
5          6               3R      -  2744304  2744800  FBtr0345282   
6          7               3R      -  2744305  2744800  FBtr0345281   
7          8               3R      +  3322810  3354486  FBtr0300207   
8          9               3R      -  3461351  3587054  FBtr0113885   
9         10               3R      +  3623143  3627690  FBtr0301810   
10        11               3R      +  3734855  3745306  FBtr0113895   
11        12               3R      +  3734929  3745306  FBtr0345179   
12        13               3R      +  3750363  3752353  FBtr0301812   
13        14               3R      +  3846729  3867684  FBtr0113990   
14        15               3R      +  3846729  3867684  FBtr0113991   
15        16               3R      +  3846729  3867980  FBtr0344573   
16        17               3R      +  3846729  3868401  FBtr0113989   
17        18               3R      +  4077939  4104326  FBtr0336454   
18        19               3R      +  4077939  4104326  FBtr0339974   
19        20               3R      +  4084036  4104326  FBtr0301942   
20        21               3R      +  4126442  4137882  FBtr0113694   
21        22               3R      +  4126442  4137882  FBtr0302850   
22        23               3R      +  4130521  4137882  FBtr0113687   
23        24               3R      +  4130521  4137882  FBtr0113690   
24        25               3R      +  4130521  4137882  FBtr0113692   
25        26               3R      +  4130521  4137882  FBtr0302846   
26        27               3R      +  4130521  4137882  FBtr0302847   
27        28               3R      +  4130521  4137882  FBtr0302848   
28        29               3R      +  4130521  4137882  FBtr0302849   
29        30               3R      -  4137894  4138652  FBtr0114267   
...      ...              ...    ...      ...      ...          ...   
34688  34689  211000022278879      +        1      559  FBtr0114210   
34689  34690  211000022278449      -      528     1635  FBtr0308947   
34690  34691  211000022280347      -        7      354  FBtr0302352   
34691  34692  211000022278298      +      648     1614  FBtr0114196   
34692  34693  211000022278307      -        1      824  FBtr0114201   
34693  34694  211000022279529      +        1      838  FBtr0114223   
34694  34695  211000022280341      -        1      740  FBtr0347034   
34695  34696  211000022279392      -        1     1356  FBtr0300161   
34696  34697  211000022278604      +        1      265  FBtr0114202   
34697  34698  211000022279708      +      608     1275  FBtr0114249   
34698  34699  211000022279528      +        2      463  FBtr0114285   
34699  34700  211000022279531      -      626     1200  FBtr0114280   
34700  34701  211000022279555      -       51     1080  FBtr0114257   
34701  34702  211000022278760      -      562      879  FBtr0302344   
34702  34703  211000022279222      +        1      506  FBtr0114218   
34703  34704  211000022278750      +        1     1134  FBtr0114207   
34704  34705  211000022278877      +        1      549  FBtr0114208   
34705  34706  211000022279055      +      384     1123  FBtr0114214   
34706  34707  211000022279165      -       14     1118  FBtr0300167   
34707  34708  211000022279108      +        1      566  FBtr0114211   
34708  34709  211000022278309      +        1     1110  FBtr0114198   
34709  34710  211000022278603      -        1      834  FBtr0114206   
34710  34711  211000022278880      +        1      540  FBtr0114253   
34711  34712  211000022278878      +        1      569  FBtr0114209   
34712  34713  211000022278985      -      497     1020  FBtr0114284   
34713  34714  211000022278158      +      592     1036  FBtr0114187   
34714  34715  211000022279264      -      180      614  FBtr0304147   
34715  34716  211000022279134      +        1     1012  FBtr0114216   
34716  34717  211000022279342      +        1      530  FBtr0114222   
34717  34718  211000022279132      +        1     1005  FBtr0114283   

       num_exons  length      gene_id        gene_name        cov        FPKM  
0              1     252  FBgn0085804          CR41571   0.000000    0.000000  
1             20    6213  FBgn0267431          CG45784   0.000000    0.000000  
2              1     184  FBgn0039987          CR12798   0.000000    0.000000  
3              1     291  FBgn0058182          CR40182  16.388315   23.712564  
4             19    6420  FBgn0267430          CG45783   0.000000    0.000000  
5              2     438  FBgn0266747          CR45220   0.000000    0.000000  
6              1     496  FBgn0266747          CR45220   0.000000    0.000000  
7              2    1767  FBgn0086917             spok   0.000000    0.000000  
8              6    3112  FBgn0010247             Parp   7.600407   10.997173  
9              3    1290  FBgn0086378            Alg-2  13.178294   19.067924  
10             3     961  FBgn0263977           Tim17b   4.364941    6.315716  
11             3     887  FBgn0263977           Tim17b  82.468964  119.325905  
12             2     364  FBgn0069923          CG41128   4.437705    6.421000  
13             7    3594  FBgn0039955          CG41099  18.611586   26.929455  
14             8    3669  FBgn0039955          CG41099   0.000000    0.000000  
15             7    3869  FBgn0039955          CG41099   0.000000    0.000000  
16             7    4294  FBgn0039955          CG41099   6.050711    8.754889  
17            12    4915  FBgn0259821          CG42402   0.000000    0.000000  
18            11    4654  FBgn0259821          CG42402   0.000000    0.000000  
19            11    4016  FBgn0259821          CG42402   0.000000    0.000000  
20             8    2601  FBgn0027341            Gfat1   0.000000    0.000000  
21             9    2628  FBgn0027341            Gfat1   0.000000    0.000000  
22             9    2426  FBgn0027341            Gfat1   0.000000    0.000000  
23             9    2290  FBgn0027341            Gfat1   0.000000    0.000000  
24             8    2363  FBgn0027341            Gfat1   0.000000    0.000000  
25            10    2538  FBgn0027341            Gfat1   0.000000    0.000000  
26             5    3726  FBgn0027341            Gfat1   0.000000    0.000000  
27             9    2390  FBgn0027341            Gfat1   0.000000    0.000000  
28             7    2339  FBgn0027341            Gfat1   0.000000    0.000000  
29             3     614  FBgn0085812          CR41601   0.000000    0.000000  
...          ...     ...          ...              ...        ...         ...  
34688          1     559  FBgn0085760          CR40641   0.000000    0.000000  
34689          2    1051  FBgn0085494     Mst77Y-16Psi   0.000000    0.000000  
34690          1     348  FBgn0085540          CR40947   0.000000    0.000000  
34691          1     967  FBgn0085746          CR40571   0.000000    0.000000  
34692          1     824  FBgn0085751          CR40582   0.000000    0.000000  
34693          1     838  FBgn0085773          CR40766   0.000000    0.000000  
34694          1     740  FBgn0267595          CR45933   0.000000    0.000000  
34695          1    1356  FBgn0259864  Su(Ste):CR42433   0.000000    0.000000  
34696          1     265  FBgn0085752          CR40594   0.000000    0.000000  
34697          1     668  FBgn0085795          CR41535   0.000000    0.000000  
34698          1     462  FBgn0085827          CR41621   0.000000    0.000000  
34699          1     575  FBgn0085822          CR41613   5.304633    7.675375  
34700          1    1030  FBgn0085803          CR41550   0.000000    0.000000  
34701          2     264  FBgn0085506          CG40635   0.000000    0.000000  
34702          1     506  FBgn0085768          CR40712   0.000000    0.000000  
34703          1    1134  FBgn0085757          CR40621   0.000000    0.000000  
34704          1     549  FBgn0085758          CR40639   0.000000    0.000000  
34705          1     740  FBgn0085764          CR40668   0.000000    0.000000  
34706          1    1105  FBgn0259870  Su(Ste):CR42439   0.000000    0.000000  
34707          1     566  FBgn0085761          CR40642   0.000000    0.000000  
34708          1    1110  FBgn0085748          CR40573   0.000000    0.000000  
34709          1     834  FBgn0085756          CR40613   0.000000    0.000000  
34710          1     540  FBgn0085799          CR41544   0.000000    0.000000  
34711          1     569  FBgn0085759          CR40640   0.000000    0.000000  
34712          1     524  FBgn0085826          CR41620   0.000000    0.000000  
34713          1     445  FBgn0085737          CR40502   0.000000    0.000000  
34714          1     435  FBgn0085511          CR40719   0.000000    0.000000  
34715          1    1012  FBgn0085766          CR40679   1.389987    2.011199  
34716          1     530  FBgn0085772          CR40743   0.000000    0.000000  
34717          1    1005  FBgn0085825          CR41619   0.000000    0.000000  

[34718 rows x 12 columns]
